event_id,employee_id,department,event_date,event_name,event_type,campaign_name,participation_status,participant_count,engagement_score,wellness_points,final_reward_score,reward_earned
EVT00108,EMP224,Sales,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00109,EMP211,Sales,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00110,EMP185,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00111,EMP043,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00112,EMP028,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00113,EMP058,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00114,EMP213,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00115,EMP073,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00116,EMP130,Marketing,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00117,EMP187,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00118,EMP172,Operations,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00119,EMP090,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00120,EMP235,Sales,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00121,EMP035,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00122,EMP192,Operations,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00123,EMP179,Operations,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00124,EMP249,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00125,EMP155,Finance,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00126,EMP047,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00127,EMP030,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00128,EMP116,Marketing,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00129,EMP076,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00130,EMP133,Marketing,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00131,EMP164,Finance,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00132,EMP031,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00133,EMP023,Tech,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00134,EMP212,Sales,27-01-2025,Creative Workshop,Creative,Mental Health Awareness Campaign,Attended,150,85.7,10,18.6,Gift Voucher
EVT00135,EMP163,Finance,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00136,EMP100,HR,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00137,EMP068,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00138,EMP024,Tech,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00139,EMP222,Sales,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00140,EMP019,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00141,EMP157,Finance,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00142,EMP237,Sales,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00143,EMP060,Tech,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Attended,150,85.7,10,18.6,Gift Voucher
EVT00144,EMP115,Marketing,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00145,EMP188,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00146,EMP193,Operations,27-01-2025,Creative Workshop,Creative,Wellness Month,Attended,150,85.7,10,18.6,Gift Voucher
EVT00147,EMP062,Tech,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00148,EMP113,Marketing,27-01-2025,Creative Workshop,Creative,Wellness Month,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00149,EMP105,Marketing,27-01-2025,Creative Workshop,Creative,Employee Engagement Drive,Skipped,150,85.7,0,8.6,Gift Voucher
EVT00150,EMP104,Marketing,27-01-2025,Creative Workshop,Creative,Healthy Workforce Initiative,Attended,150,85.7,10,18.6,Gift Voucher
EVT00151,EMP182,Operations,19-01-2025,Step Challenge,Fitness,Wellness Month,Attended,44,25.1,20,22.5,Wellness Kit
EVT00152,EMP083,HR,19-01-2025,Step Challenge,Fitness,Wellness Month,Attended,44,25.1,20,22.5,Wellness Kit
EVT00153,EMP032,Tech,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00154,EMP080,HR,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00155,EMP226,Sales,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00156,EMP163,Finance,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00157,EMP074,HR,19-01-2025,Step Challenge,Fitness,Wellness Month,Attended,44,25.1,20,22.5,Wellness Kit
EVT00158,EMP145,Finance,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00159,EMP179,Operations,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00160,EMP195,Operations,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00161,EMP002,Tech,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00162,EMP042,Tech,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Attended,44,25.1,20,22.5,Wellness Kit
EVT00163,EMP131,Marketing,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00164,EMP178,Operations,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00165,EMP146,Finance,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00166,EMP084,HR,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00167,EMP096,HR,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Attended,44,25.1,20,22.5,Wellness Kit
EVT00168,EMP132,Marketing,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00169,EMP153,Finance,19-01-2025,Step Challenge,Fitness,Wellness Month,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00170,EMP022,Tech,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00171,EMP242,Sales,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00172,EMP045,Tech,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00173,EMP207,Operations,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00174,EMP155,Finance,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00175,EMP175,Operations,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00176,EMP048,Tech,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00177,EMP144,Finance,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00178,EMP027,Tech,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00179,EMP201,Operations,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00180,EMP029,Tech,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00181,EMP183,Operations,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Attended,44,25.1,20,22.5,Wellness Kit
EVT00182,EMP133,Marketing,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00183,EMP141,Finance,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00184,EMP079,HR,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00185,EMP228,Sales,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00186,EMP072,HR,19-01-2025,Step Challenge,Fitness,Employee Engagement Drive,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00187,EMP240,Sales,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00188,EMP055,Tech,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00189,EMP151,Finance,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Skipped,44,25.1,0,2.5,Gift Voucher
EVT00190,EMP162,Finance,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00191,EMP184,Operations,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00192,EMP046,Tech,19-01-2025,Step Challenge,Fitness,Healthy Workforce Initiative,Attended,44,25.1,20,22.5,Wellness Kit
EVT00193,EMP061,Tech,19-01-2025,Step Challenge,Fitness,Mental Health Awareness Campaign,Attended,44,25.1,20,22.5,Wellness Kit
EVT00194,EMP026,Tech,19-01-2025,Step Challenge,Fitness,Wellness Month,Attended,44,25.1,20,22.5,Wellness Kit
EVT00195,EMP171,Operations,05-01-2025,Mindfulness Month,Mental,Wellness Month,Attended,67,38.3,20,23.8,Wellness Kit
EVT00196,EMP053,Tech,05-01-2025,Mindfulness Month,Mental,Mental Health Awareness Campaign,Skipped,67,38.3,0,3.8,Gift Voucher
EVT00197,EMP177,Operations,05-01-2025,Mindfulness Month,Mental,Mental Health Awareness Campaign,Attended,67,38.3,20,23.8,Wellness Kit
EVT00198,EMP001,Tech,05-01-2025,Mindfulness Month,Mental,Wellness Month,Attended,67,38.3,20,23.8,Wellness Kit
