employee_id,department,work_mode,joining_date,manager_id,job_level,age_group,location,team_name
EMP067,Tech,Hybrid,22-02-2023,MGR006,Junior,50+,Bangalore,Tech_Team_8
EMP068,Tech,Remote,24-02-2024,MGR007,Lead,40-49,Delhi,Tech_Team_4
EMP069,Tech,Remote,03-07-2022,MGR001,Mid-Level,50+,Delhi,Tech_Team_5
EMP070,Tech,Remote,15-07-2024,MGR025,Senior,40-49,Kochi,Tech_Team_7
EMP071,HR,Onsite,04-12-2023,MGR018,Senior,20-29,Bangalore,HR_Team_5
EMP072,HR,Remote,30-07-2025,MGR019,Senior,20-29,Bangalore,HR_Team_7
EMP073,HR,Hybrid,18-07-2022,MGR024,Senior,50+,Chennai,HR_Team_2
EMP074,HR,Hybrid,06-11-2023,MGR019,Mid-Level,40-49,Bangalore,HR_Team_7
EMP075,HR,Remote,05-11-2025,MGR017,Mid-Level,40-49,Hyderabad,HR_Team_2
EMP076,HR,Onsite,06-12-2022,MGR011,Senior,20-29,Kochi,HR_Team_5
EMP077,HR,Onsite,29-01-2024,MGR010,Lead,40-49,Hyderabad,HR_Team_5
EMP078,HR,Onsite,29-07-2022,MGR005,Mid-Level,50+,Kochi,HR_Team_7
EMP079,HR,Onsite,21-02-2026,MGR024,Mid-Level,40-49,Hyderabad,HR_Team_1
EMP080,HR,Hybrid,19-02-2026,MGR010,Mid-Level,50+,Chennai,HR_Team_6
EMP081,HR,Hybrid,30-07-2024,MGR015,Lead,30-39,Chennai,HR_Team_8
EMP082,HR,Onsite,15-07-2025,MGR006,Junior,40-49,Chennai,HR_Team_6
EMP083,HR,Remote,21-10-2021,MGR025,Mid-Level,40-49,Mumbai,HR_Team_4
EMP084,HR,Remote,31-05-2021,MGR001,Junior,30-39,Hyderabad,HR_Team_2
EMP085,HR,Hybrid,22-08-2022,MGR014,Mid-Level,50+,Hyderabad,HR_Team_7
EMP086,HR,Remote,19-08-2023,MGR005,Junior,20-29,Hyderabad,HR_Team_4
EMP087,HR,Remote,16-09-2025,MGR023,Lead,20-29,Chennai,HR_Team_4
EMP088,HR,Remote,13-04-2022,MGR015,Mid-Level,50+,Kochi,HR_Team_6
EMP089,HR,Hybrid,25-02-2023,MGR020,Lead,50+,Mumbai,HR_Team_8
EMP090,HR,Hybrid,01-06-2021,MGR009,Mid-Level,40-49,Chennai,HR_Team_8
EMP091,HR,Onsite,06-11-2025,MGR008,Senior,50+,Bangalore,HR_Team_5
EMP092,HR,Remote,24-12-2024,MGR009,Senior,40-49,Chennai,HR_Team_2
EMP093,HR,Remote,29-09-2025,MGR005,Mid-Level,50+,Kochi,HR_Team_3
EMP094,HR,Onsite,04-07-2025,MGR007,Junior,50+,Hyderabad,HR_Team_6
EMP095,HR,Onsite,22-07-2021,MGR015,Lead,20-29,Mumbai,HR_Team_7
EMP096,HR,Hybrid,31-10-2024,MGR025,Junior,50+,Hyderabad,HR_Team_1
EMP097,HR,Hybrid,05-12-2025,MGR010,Lead,50+,Chennai,HR_Team_4
EMP098,HR,Hybrid,06-11-2024,MGR008,Senior,50+,Hyderabad,HR_Team_1
EMP099,HR,Hybrid,09-04-2026,MGR011,Lead,30-39,Hyderabad,HR_Team_3
EMP100,HR,Onsite,05-08-2024,MGR018,Junior,50+,Chennai,HR_Team_1
EMP101,Marketing,Remote,24-03-2022,MGR021,Lead,30-39,Hyderabad,Marketing_Team_3
EMP102,Marketing,Remote,12-02-2024,MGR009,Lead,40-49,Mumbai,Marketing_Team_8
EMP103,Marketing,Hybrid,22-03-2022,MGR011,Lead,40-49,Hyderabad,Marketing_Team_5
EMP104,Marketing,Remote,17-07-2023,MGR016,Junior,20-29,Delhi,Marketing_Team_4
EMP105,Marketing,Onsite,08-09-2022,MGR003,Junior,20-29,Mumbai,Marketing_Team_4
EMP106,Marketing,Remote,25-07-2025,MGR020,Mid-Level,30-39,Mumbai,Marketing_Team_8
EMP107,Marketing,Onsite,29-03-2022,MGR004,Mid-Level,50+,Kochi,Marketing_Team_5
EMP108,Marketing,Hybrid,27-05-2021,MGR006,Junior,30-39,Delhi,Marketing_Team_2
EMP109,Marketing,Onsite,12-05-2021,MGR001,Senior,50+,Hyderabad,Marketing_Team_4
EMP110,Marketing,Remote,30-06-2025,MGR019,Mid-Level,20-29,Kochi,Marketing_Team_5
EMP111,Marketing,Onsite,20-05-2025,MGR020,Junior,20-29,Delhi,Marketing_Team_7
EMP112,Marketing,Onsite,19-07-2023,MGR012,Junior,40-49,Bangalore,Marketing_Team_7
EMP113,Marketing,Hybrid,20-08-2024,MGR004,Lead,40-49,Kochi,Marketing_Team_8
EMP114,Marketing,Onsite,24-05-2023,MGR005,Lead,30-39,Kochi,Marketing_Team_5
EMP115,Marketing,Onsite,27-07-2023,MGR018,Lead,50+,Hyderabad,Marketing_Team_5
EMP116,Marketing,Hybrid,02-12-2021,MGR008,Junior,40-49,Hyderabad,Marketing_Team_4
EMP117,Marketing,Hybrid,03-08-2022,MGR019,Lead,40-49,Bangalore,Marketing_Team_8
EMP118,Marketing,Hybrid,11-12-2025,MGR006,Lead,30-39,Delhi,Marketing_Team_5
EMP119,Marketing,Hybrid,02-09-2024,MGR009,Senior,20-29,Chennai,Marketing_Team_4
EMP120,Marketing,Remote,06-05-2024,MGR008,Lead,50+,Chennai,Marketing_Team_4
EMP121,Marketing,Onsite,16-01-2023,MGR016,Lead,50+,Bangalore,Marketing_Team_2
EMP122,Marketing,Hybrid,06-09-2025,MGR008,Lead,30-39,Delhi,Marketing_Team_6
EMP123,Marketing,Hybrid,20-07-2022,MGR018,Senior,50+,Kochi,Marketing_Team_6
EMP124,Marketing,Hybrid,18-02-2023,MGR023,Lead,40-49,Delhi,Marketing_Team_5
EMP125,Marketing,Remote,17-06-2021,MGR004,Mid-Level,40-49,Bangalore,Marketing_Team_3
EMP126,Marketing,Remote,03-10-2025,MGR007,Lead,40-49,Kochi,Marketing_Team_5
EMP127,Marketing,Remote,06-01-2026,MGR007,Senior,30-39,Delhi,Marketing_Team_3
EMP128,Marketing,Hybrid,06-01-2022,MGR001,Mid-Level,40-49,Bangalore,Marketing_Team_1
EMP129,Marketing,Onsite,29-08-2021,MGR010,Mid-Level,50+,Bangalore,Marketing_Team_1
EMP130,Marketing,Onsite,10-07-2025,MGR010,Lead,50+,Hyderabad,Marketing_Team_6
EMP131,Marketing,Remote,29-10-2025,MGR002,Senior,50+,Bangalore,Marketing_Team_2
EMP132,Marketing,Hybrid,09-11-2023,MGR016,Junior,20-29,Mumbai,Marketing_Team_3
EMP133,Marketing,Onsite,14-08-2024,MGR010,Junior,30-39,Bangalore,Marketing_Team_7
EMP134,Marketing,Onsite,03-08-2022,MGR020,Mid-Level,50+,Hyderabad,Marketing_Team_8
EMP135,Marketing,Hybrid,09-06-2025,MGR019,Lead,40-49,Chennai,Marketing_Team_1
EMP136,Marketing,Onsite,27-04-2022,MGR024,Junior,30-39,Kochi,Marketing_Team_4
EMP137,Marketing,Hybrid,06-04-2023,MGR022,Junior,30-39,Mumbai,Marketing_Team_3
EMP138,Marketing,Onsite,18-12-2021,MGR003,Mid-Level,20-29,Hyderabad,Marketing_Team_8
EMP139,Marketing,Onsite,15-05-2025,MGR020,Lead,40-49,Bangalore,Marketing_Team_4
EMP140,Marketing,Hybrid,18-05-2022,MGR023,Senior,50+,Bangalore,Marketing_Team_4
EMP141,Finance,Hybrid,13-11-2025,MGR021,Mid-Level,50+,Bangalore,Finance_Team_4
EMP142,Finance,Onsite,27-02-2024,MGR005,Senior,30-39,Bangalore,Finance_Team_1
EMP143,Finance,Remote,17-10-2024,MGR010,Senior,50+,Bangalore,Finance_Team_8
EMP144,Finance,Onsite,01-03-2023,MGR010,Lead,40-49,Chennai,Finance_Team_8
EMP145,Finance,Hybrid,02-01-2023,MGR003,Junior,50+,Kochi,Finance_Team_6
EMP146,Finance,Onsite,10-01-2024,MGR009,Junior,20-29,Mumbai,Finance_Team_1
EMP147,Finance,Onsite,27-04-2022,MGR009,Junior,30-39,Hyderabad,Finance_Team_8
EMP148,Finance,Hybrid,15-12-2025,MGR006,Lead,50+,Bangalore,Finance_Team_8
EMP149,Finance,Hybrid,22-11-2021,MGR014,Senior,40-49,Kochi,Finance_Team_2
EMP150,Finance,Remote,14-02-2026,MGR011,Lead,50+,Delhi,Finance_Team_7
EMP151,Finance,Onsite,15-10-2024,MGR002,Lead,20-29,Delhi,Finance_Team_5
EMP152,Finance,Hybrid,29-10-2024,MGR004,Lead,20-29,Kochi,Finance_Team_8
EMP153,Finance,Hybrid,19-11-2025,MGR002,Mid-Level,40-49,Chennai,Finance_Team_8
EMP154,Finance,Onsite,11-04-2023,MGR015,Junior,30-39,Delhi,Finance_Team_3
EMP155,Finance,Hybrid,19-04-2025,MGR015,Lead,20-29,Bangalore,Finance_Team_4
EMP156,Finance,Onsite,15-07-2022,MGR006,Senior,20-29,Chennai,Finance_Team_7
EMP157,Finance,Remote,09-03-2024,MGR008,Junior,50+,Bangalore,Finance_Team_3
EMP158,Finance,Hybrid,16-01-2023,MGR023,Senior,40-49,Hyderabad,Finance_Team_8
EMP159,Finance,Hybrid,12-05-2021,MGR008,Lead,30-39,Hyderabad,Finance_Team_4
EMP160,Finance,Onsite,11-01-2022,MGR017,Mid-Level,20-29,Delhi,Finance_Team_7
EMP161,Finance,Hybrid,19-04-2026,MGR017,Senior,20-29,Delhi,Finance_Team_5
EMP162,Finance,Onsite,15-09-2021,MGR019,Lead,30-39,Hyderabad,Finance_Team_8
EMP163,Finance,Hybrid,19-03-2026,MGR011,Lead,50+,Delhi,Finance_Team_4
EMP164,Finance,Onsite,29-09-2022,MGR008,Lead,30-39,Hyderabad,Finance_Team_1
EMP165,Finance,Hybrid,02-07-2023,MGR024,Lead,50+,Hyderabad,Finance_Team_3
EMP166,Operations,Hybrid,30-05-2024,MGR002,Mid-Level,40-49,Bangalore,Operations_Team_8
EMP167,Operations,Remote,10-01-2024,MGR017,Lead,20-29,Kochi,Operations_Team_3
EMP168,Operations,Hybrid,04-07-2023,MGR021,Mid-Level,20-29,Hyderabad,Operations_Team_5
EMP169,Operations,Hybrid,02-06-2023,MGR020,Lead,20-29,Delhi,Operations_Team_7
EMP170,Operations,Hybrid,10-03-2024,MGR021,Lead,20-29,Chennai,Operations_Team_2
EMP171,Operations,Remote,06-01-2026,MGR021,Senior,30-39,Kochi,Operations_Team_2
EMP172,Operations,Hybrid,06-05-2026,MGR004,Junior,50+,Mumbai,Operations_Team_5
EMP173,Operations,Remote,21-10-2022,MGR002,Senior,20-29,Delhi,Operations_Team_6
EMP174,Operations,Hybrid,28-03-2024,MGR014,Mid-Level,30-39,Chennai,Operations_Team_7
EMP175,Operations,Onsite,23-02-2025,MGR022,Mid-Level,30-39,Mumbai,Operations_Team_2
EMP176,Operations,Onsite,30-03-2023,MGR013,Mid-Level,50+,Chennai,Operations_Team_3
EMP177,Operations,Remote,14-04-2025,MGR015,Senior,50+,Delhi,Operations_Team_1
EMP178,Operations,Hybrid,28-03-2022,MGR010,Mid-Level,20-29,Hyderabad,Operations_Team_6
EMP179,Operations,Onsite,30-01-2026,MGR010,Lead,40-49,Hyderabad,Operations_Team_5
EMP180,Operations,Remote,30-07-2021,MGR013,Lead,20-29,Mumbai,Operations_Team_7
EMP181,Operations,Onsite,02-09-2021,MGR012,Senior,40-49,Bangalore,Operations_Team_7
EMP182,Operations,Hybrid,21-07-2024,MGR001,Junior,50+,Delhi,Operations_Team_4
EMP183,Operations,Onsite,06-01-2026,MGR012,Mid-Level,30-39,Chennai,Operations_Team_5
EMP184,Operations,Onsite,13-09-2022,MGR025,Mid-Level,20-29,Kochi,Operations_Team_1
EMP185,Operations,Hybrid,01-07-2025,MGR015,Junior,40-49,Kochi,Operations_Team_3
EMP186,Operations,Remote,24-10-2023,MGR010,Senior,50+,Mumbai,Operations_Team_4
EMP187,Operations,Remote,19-12-2024,MGR018,Senior,40-49,Mumbai,Operations_Team_5
EMP188,Operations,Hybrid,13-05-2025,MGR010,Senior,20-29,Hyderabad,Operations_Team_2
EMP189,Operations,Remote,24-12-2021,MGR025,Mid-Level,50+,Chennai,Operations_Team_6
EMP190,Operations,Remote,24-12-2021,MGR013,Junior,40-49,Chennai,Operations_Team_2
EMP191,Operations,Hybrid,31-08-2023,MGR012,Senior,50+,Kochi,Operations_Team_6
EMP192,Operations,Remote,07-06-2022,MGR022,Mid-Level,50+,Bangalore,Operations_Team_6
EMP193,Operations,Onsite,01-10-2025,MGR008,Junior,50+,Kochi,Operations_Team_5
EMP194,Operations,Onsite,08-04-2026,MGR014,Junior,30-39,Bangalore,Operations_Team_1
EMP195,Operations,Hybrid,14-03-2024,MGR016,Junior,20-29,Mumbai,Operations_Team_3
EMP196,Operations,Hybrid,19-10-2021,MGR015,Senior,50+,Chennai,Operations_Team_3
EMP197,Operations,Hybrid,03-07-2021,MGR021,Junior,50+,Chennai,Operations_Team_7
EMP198,Operations,Hybrid,05-02-2024,MGR002,Senior,30-39,Hyderabad,Operations_Team_8
EMP199,Operations,Remote,31-12-2025,MGR012,Junior,40-49,Chennai,Operations_Team_6
EMP200,Operations,Remote,06-05-2025,MGR013,Senior,30-39,Bangalore,Operations_Team_8
EMP201,Operations,Remote,01-08-2022,MGR022,Mid-Level,20-29,Bangalore,Operations_Team_6
EMP202,Operations,Remote,23-08-2021,MGR005,Mid-Level,20-29,Chennai,Operations_Team_4
EMP203,Operations,Onsite,13-03-2025,MGR007,Mid-Level,40-49,Mumbai,Operations_Team_1
EMP204,Operations,Hybrid,12-03-2026,MGR005,Mid-Level,40-49,Mumbai,Operations_Team_2
EMP205,Operations,Onsite,16-08-2024,MGR001,Mid-Level,20-29,Delhi,Operations_Team_4
EMP206,Operations,Onsite,10-04-2025,MGR011,Junior,30-39,Delhi,Operations_Team_1
EMP207,Operations,Remote,06-01-2025,MGR024,Lead,20-29,Kochi,Operations_Team_2
EMP208,Operations,Hybrid,22-06-2024,MGR015,Senior,20-29,Hyderabad,Operations_Team_4
EMP209,Operations,Onsite,06-08-2021,MGR002,Senior,50+,Kochi,Operations_Team_1
EMP210,Operations,Remote,03-10-2021,MGR016,Lead,50+,Kochi,Operations_Team_2
EMP211,Sales,Hybrid,15-03-2024,MGR023,Lead,20-29,Bangalore,Sales_Team_6
EMP212,Sales,Onsite,15-08-2025,MGR005,Junior,30-39,Delhi,Sales_Team_6
EMP213,Sales,Hybrid,23-01-2026,MGR020,Senior,50+,Chennai,Sales_Team_7
EMP214,Sales,Remote,04-12-2021,MGR023,Junior,30-39,Hyderabad,Sales_Team_8
EMP215,Sales,Remote,29-07-2023,MGR014,Senior,50+,Hyderabad,Sales_Team_7
EMP216,Sales,Onsite,27-03-2024,MGR004,Senior,50+,Delhi,Sales_Team_5
EMP217,Sales,Hybrid,28-09-2023,MGR005,Lead,20-29,Bangalore,Sales_Team_2
EMP218,Sales,Remote,08-11-2024,MGR014,Junior,40-49,Mumbai,Sales_Team_1
EMP219,Sales,Onsite,11-02-2025,MGR018,Senior,20-29,Hyderabad,Sales_Team_6
EMP220,Sales,Onsite,05-04-2023,MGR025,Lead,20-29,Delhi,Sales_Team_5
EMP221,Sales,Hybrid,27-03-2022,MGR004,Mid-Level,30-39,Kochi,Sales_Team_8
EMP222,Sales,Remote,27-02-2026,MGR004,Senior,40-49,Bangalore,Sales_Team_5
EMP223,Sales,Onsite,05-11-2024,MGR008,Lead,20-29,Chennai,Sales_Team_5
EMP224,Sales,Remote,19-12-2022,MGR006,Senior,40-49,Delhi,Sales_Team_6
EMP225,Sales,Remote,22-01-2023,MGR006,Mid-Level,50+,Bangalore,Sales_Team_3
EMP226,Sales,Onsite,14-02-2023,MGR021,Junior,20-29,Kochi,Sales_Team_4
EMP227,Sales,Hybrid,16-04-2023,MGR014,Lead,40-49,Mumbai,Sales_Team_6
EMP228,Sales,Hybrid,17-07-2021,MGR024,Senior,20-29,Bangalore,Sales_Team_3
EMP229,Sales,Remote,20-10-2023,MGR025,Junior,20-29,Delhi,Sales_Team_8
EMP230,Sales,Onsite,11-12-2024,MGR014,Lead,50+,Hyderabad,Sales_Team_5
EMP231,Sales,Remote,26-03-2022,MGR025,Junior,40-49,Hyderabad,Sales_Team_2
EMP232,Sales,Hybrid,08-08-2024,MGR022,Lead,40-49,Bangalore,Sales_Team_4
EMP233,Sales,Hybrid,27-06-2025,MGR020,Junior,20-29,Mumbai,Sales_Team_5
EMP234,Sales,Remote,23-08-2025,MGR025,Mid-Level,40-49,Delhi,Sales_Team_6
EMP235,Sales,Remote,12-10-2021,MGR001,Lead,50+,Mumbai,Sales_Team_3
EMP236,Sales,Hybrid,23-02-2026,MGR018,Mid-Level,40-49,Bangalore,Sales_Team_7
EMP237,Sales,Onsite,07-09-2021,MGR002,Lead,20-29,Hyderabad,Sales_Team_2
EMP238,Sales,Hybrid,31-01-2026,MGR019,Lead,50+,Kochi,Sales_Team_7
EMP239,Sales,Hybrid,14-05-2023,MGR004,Lead,20-29,Delhi,Sales_Team_3
EMP240,Sales,Onsite,06-11-2025,MGR015,Senior,20-29,Hyderabad,Sales_Team_2
EMP241,Sales,Remote,10-12-2022,MGR014,Lead,20-29,Hyderabad,Sales_Team_5
EMP242,Sales,Onsite,27-04-2024,MGR011,Mid-Level,40-49,Mumbai,Sales_Team_2
EMP243,Sales,Onsite,04-02-2025,MGR021,Junior,30-39,Delhi,Sales_Team_6
EMP244,Sales,Onsite,04-06-2022,MGR021,Mid-Level,30-39,Bangalore,Sales_Team_3
EMP245,Sales,Hybrid,30-03-2022,MGR007,Mid-Level,30-39,Kochi,Sales_Team_2
EMP246,Sales,Remote,14-03-2023,MGR025,Lead,50+,Chennai,Sales_Team_8
EMP247,Sales,Onsite,24-08-2022,MGR019,Senior,40-49,Mumbai,Sales_Team_8
EMP248,Sales,Remote,05-06-2022,MGR016,Lead,40-49,Delhi,Sales_Team_1
EMP249,Sales,Hybrid,24-12-2024,MGR017,Junior,40-49,Hyderabad,Sales_Team_8
EMP250,Sales,Remote,03-01-2025,MGR002,Senior,40-49,Bangalore,Sales_Team_2
